station,status,reason,test_mae,test_mse,test_rmse,full_mae,full_mse,full_rmse,model_path,pipeline_path,num_rows,num_samples
3250_Bodesce,trained,,0.014212305746777308,0.0002161463009078866,0.014701914872148001,0.010224802883766091,0.0002634617178014531,0.0162315038675242,models\hidro\model_3250_Bodesce.keras,models\hidro\pipeline_3250_Bodesce.pkl,1696.0,1672.0
3260_Ukanc,trained,,0.020419012090373164,0.0004380786590511697,0.020930328689515835,0.015002215119967006,0.0007852680007665728,0.028022633722877884,models\hidro\model_3260_Ukanc.keras,models\hidro\pipeline_3260_Ukanc.pkl,1696.0,1672.0
3350_Mlino,skipped,empty feature columns: ['pretok'],,,,,,,,,,
3370_Mlino,skipped,"empty feature columns: ['pretok', 'temp_vode']",,,,,,,,,,
3400_Mlino,trained,,0.03227173013990553,0.0011399016112276102,0.03376242898885698,0.01786438318089677,0.0007225549723954456,0.026880382668322367,models\hidro\model_3400_Mlino.keras,models\hidro\pipeline_3400_Mlino.pkl,1687.0,1663.0
3420_Radovljica,trained,,0.04623999757523434,0.0037250745187851577,0.06103338855729016,0.051797817397468,0.004257469582077147,0.06524928798138066,models\hidro\model_3420_Radovljica.keras,models\hidro\pipeline_3420_Radovljica.pkl,1661.0,1637.0
3465_Okroglo,trained,,0.03595439109310347,0.0020943042637504195,0.045763569176260926,0.0574491176815794,0.005209466995154353,0.07217663746084568,models\hidro\model_3465_Okroglo.keras,models\hidro\pipeline_3465_Okroglo.pkl,1697.0,1673.0
3530_Medno,trained,,0.04566204134535825,0.00254013937789141,0.050399795415174156,0.028368537203770895,0.0015373728461554976,0.03920934641326603,models\hidro\model_3530_Medno.keras,models\hidro\pipeline_3530_Medno.pkl,1703.0,1679.0
3570_Sentjakob,trained,,0.03651845282119876,0.0019051771228137237,0.043648334708368014,0.028959464483947275,0.001468039225061102,0.038315000000797364,models\hidro\model_3570_Sentjakob.keras,models\hidro\pipeline_3570_Sentjakob.pkl,1696.0,1672.0
3660_Litija,trained,,0.013958935150725207,0.00030271897800613576,0.017398821167140484,0.01714065409567327,0.0005006449711371858,0.022375097120173264,models\hidro\model_3660_Litija.keras,models\hidro\pipeline_3660_Litija.pkl,1697.0,1673.0
3725_Hrastnik,trained,,0.014684892599544858,0.00041221131159921133,0.020302987750555616,0.037153668885273,0.0033436259359773297,0.05782409477006389,models\hidro\model_3725_Hrastnik.keras,models\hidro\pipeline_3725_Hrastnik.pkl,1697.0,1673.0
3850_Catez,trained,,0.026721730117654274,0.0008937897868754541,0.029896317279482002,0.018202635761626156,0.000870140026279042,0.029498135979736786,models\hidro\model_3850_Catez.keras,models\hidro\pipeline_3850_Catez.pkl,1696.0,1672.0
4025_Ovsise,trained,,0.013801569747032968,0.0002507875905943912,0.015836274517524354,0.035786766157861284,0.0029424377265622817,0.0542442414138338,models\hidro\model_4025_Ovsise.keras,models\hidro\pipeline_4025_Ovsise.pkl,1655.0,1631.0
4050_Preska,trained,,0.04891762083948211,0.00482025902031843,0.0694280852416256,0.05195370869468582,0.005668066700011833,0.07528656387438487,models\hidro\model_4050_Preska.keras,models\hidro\pipeline_4050_Preska.pkl,1703.0,1679.0
4095_Lajb,skipped,"empty feature columns: ['vodostaj', 'pretok', 'temp_vode']",,,,,,,,,,
4120_Kokra,trained,,0.010396269777168862,0.0001907809272598985,0.013812346913537122,0.03225661922192774,0.0019890058452907483,0.04459827177470836,models\hidro\model_4120_Kokra.keras,models\hidro\pipeline_4120_Kokra.pkl,1697.0,1673.0
4155_Kranj,trained,,0.022237788834091738,0.0007201101959622497,0.026834869031956345,0.02012706474439464,0.0010914675657453271,0.03303736620472835,models\hidro\model_4155_Kranj.keras,models\hidro\pipeline_4155_Kranj.pkl,1696.0,1672.0
4200_Suha,skipped,empty feature columns: ['pretok'],,,,,,,,,,
4209_Medvode,trained,,0.02592071385311323,0.000742319483694367,0.027245540620335778,0.01993319196521507,0.0018239498185540068,0.04270772551370544,models\hidro\model_4209_Medvode.keras,models\hidro\pipeline_4209_Medvode.pkl,1696.0,1672.0
4222_Ziri,trained,,0.03129857718246742,0.000988496954693747,0.03144037141469144,0.030170233679642795,0.002939189927019323,0.05421429633426337,models\hidro\model_4222_Ziri.keras,models\hidro\pipeline_4222_Ziri.pkl,1528.0,1504.0
